"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-12-29","711.92","704.55","711.92","703.40","1.63B","0.97%"
"2023-12-28","705.06","701.39","707.25","700.47","2.66B","0.51%"
"2023-12-27","701.50","698.62","702.32","694.33","1.63B","0.39%"
"2023-12-26","698.75","699.82","701.35","697.71","1.22B","-0.17%"
"2023-12-25","699.90","698.64","700.90","697.77","1.12B","0.13%"
"2023-12-22","699.03","699.08","702.04","695.16","1.67B","0.15%"
"2023-12-21","697.95","694.06","699.07","691.16","1.85B","0.37%"
"2023-12-20","695.37","697.66","701.73","695.19","1.60B","-0.21%"
"2023-12-19","696.86","696.33","698.44","693.36","1.35B","0.00%"
"2023-12-18","696.84","692.29","698.99","689.65","1.74B","0.44%"
"2023-12-15","693.77","700.10","703.63","693.66","1.69B","-0.52%"
"2023-12-14","697.38","702.53","703.83","697.18","1.19B","-0.41%"
"2023-12-13","700.23","706.27","707.00","699.71","1.58B","-1.00%"
"2023-12-12","707.27","697.56","707.52","696.02","2.03B","1.12%"
"2023-12-11","699.41","693.98","700.68","684.56","2.53B","0.49%"
"2023-12-8","695.98","696.13","701.42","694.23","2.27B","-0.11%"
"2023-12-7","696.73","694.70","698.77","689.36","1.83B","0.32%"
"2023-12-6","694.51","698.06","698.19","689.71","2.09B","-0.53%"
"2023-12-5","698.24","707.83","707.83","697.94","1.60B","-1.36%"
"2023-12-4","707.89","709.79","712.01","707.76","1.31B","-0.24%"
"2023-12-1","709.57","710.19","712.03","706.33","1.80B","-0.12%"
"2023-11-30","710.40","706.46","710.98","706.22","1.70B","0.59%"
"2023-11-29","706.24","713.20","713.42","704.95","1.65B","-0.96%"
"2023-11-28","713.10","715.79","716.80","711.51","1.30B","-0.35%"
"2023-11-27","715.59","720.22","720.54","711.61","1.77B","-0.67%"
"2023-11-24","720.43","719.60","721.91","718.46","1.29B","0.05%"
"2023-11-23","720.04","720.31","720.89","717.51","1.09B","-0.06%"
"2023-11-22","720.45","721.18","724.26","720.39","1.14B","-0.25%"
"2023-11-21","722.26","722.66","726.40","721.27","1.51B","0.14%"
"2023-11-20","721.29","717.51","721.58","715.29","1.21B","0.66%"
"2023-11-17","716.54","720.14","720.57","714.74","1.28B","-0.64%"
"2023-11-16","721.18","721.59","723.23","718.89","1.34B","-0.03%"
